study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,train_dataset,val_dataset,test_dataset,task_family,paper_scope,cfd_within_test_mean_l2,cfd_within_test_mae,cfd_within_best_val_mean_l2,cfd_within_best_epoch,transfer_penalty_l2,transfer_ratio_l2
followup_50k_landmark_probe,celeb_within,baseline-imagenet,0,backbone,g4,32768,baseline,imagenet,celeb,celeb,celeb,test,159,12.637835711077914,8.323076248168945,12.998014450073242,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/baseline-imagenet/backbone__g4/best_probe.pt,,,,,,baseline,imagenet,baseline,celeb,celeb,celeb,within,True,9.660913467407227,6.384853839874268,8.924335479736328,263,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,celeb,celeb,celeb,test,104,13.283551742470332,10.116537094116213,15.453535079956055,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,10k,celeb,celeb,celeb,within,True,11.729509353637695,7.8008551597595215,10.43490982055664,358,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,celeb,celeb,celeb,test,545,6.6569355485217825,4.362241268157959,6.865628719329834,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,100k,celeb,celeb,celeb,within,True,4.666220664978027,2.979553699493408,4.279738426208496,424,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,celeb,celeb,celeb,test,450,6.660763784835899,4.372105598449707,6.879059791564941,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,1m,celeb,celeb,celeb,within,True,4.4774274826049805,2.853899478912353,4.439042091369629,299,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,celeb,celeb,celeb,test,500,11.766206668374315,7.708462715148926,12.127285957336426,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,imagenet,10k,celeb,celeb,celeb,within,True,8.72878360748291,5.691030979156494,9.014130592346193,341,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,celeb,celeb,celeb,test,369,7.924697021317612,5.335341930389403,8.351043701171875,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,imagenet,100k,celeb,celeb,celeb,within,True,6.14628791809082,3.97573184967041,5.452151298522949,226,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,celeb,celeb,celeb,test,277,7.86246519661992,5.22477912902832,8.201706886291504,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,imagenet,1m,celeb,celeb,celeb,within,True,5.66350793838501,3.640031337738037,5.04587459564209,372,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,celeb,celeb,celeb,test,376,9.720518685429473,6.234478950500487,9.696693420410156,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,imagenet,10k,celeb,celeb,celeb,within,True,6.474675178527832,4.1783857345581055,6.663674831390381,698,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,celeb,celeb,celeb,test,282,6.830241461269192,4.404986381530762,6.974747180938722,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,imagenet,100k,celeb,celeb,celeb,within,True,4.797965049743652,3.1047146320343018,4.574835777282715,401,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,celeb,celeb,celeb,test,421,6.777458224791647,4.482549667358398,7.076401233673097,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,imagenet,1m,celeb,celeb,celeb,within,True,4.632867336273193,2.9312260150909424,4.4683499336242685,538,,
external_vit_landmark_probe,celeb_within,baseline-dinov2-vitb14,0,patch_tokens,g4,12288,external_baseline,dinov2,celeb,celeb,celeb,test,313,6.2854035721450545,4.318778991699219,6.8580565452575675,/workspace/landmark_probe/outputs/probe_runs/external_vit_landmark_probe/celeb_within/baseline-dinov2-vitb14/patch_tokens__g4/best_probe.pt,dinov2,vitb14,14.0,LVD-142M,patch_tokens_g4,external_baseline,dinov2,baseline,celeb,celeb,celeb,within,True,3.857002973556519,2.4477572441101074,3.614746809005737,147,,
external_vit_landmark_probe,celeb_within,baseline-mae-vitb16-in1k-pretrain,0,patch_tokens,g4,12288,external_baseline,mae,celeb,celeb,celeb,test,421,6.516235239518796,4.428740501403809,6.964296817779541,/workspace/landmark_probe/outputs/probe_runs/external_vit_landmark_probe/celeb_within/baseline-mae-vitb16-in1k-pretrain/patch_tokens__g4/best_probe.pt,mae,vitb16,16.0,ImageNet-1K,patch_tokens_g4,external_baseline,mae,baseline,celeb,celeb,celeb,within,True,3.7807004451751713,2.382324457168579,3.638625144958496,630,,
followup_50k_landmark_probe,cfd_within,baseline-random,0,backbone,g4,32768,baseline,random,cfd,cfd,cfd,test,327,8.979241371154785,5.592645645141602,9.330357551574707,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/baseline-random/backbone__g4/best_probe.pt,,,,,,baseline,random,baseline,cfd,cfd,cfd,within,True,9.330357551574707,5.592645645141602,8.979241371154785,327,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,cfd,cfd,cfd,test,347,4.309503078460693,3.5118162631988525,5.410127639770508,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-infonce-random-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,random,10k,cfd,cfd,cfd,within,True,5.410127639770508,3.5118162631988525,4.309503078460693,347,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,cfd,cfd,cfd,test,197,3.83331036567688,2.5452229976654053,4.025519371032715,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-infonce-random-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,random,100k,cfd,cfd,cfd,within,True,4.025519371032715,2.5452229976654053,3.83331036567688,197,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,cfd,cfd,cfd,test,180,4.044797420501709,3.2018959522247314,4.9530229568481445,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-infonce-random-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,random,1m,cfd,cfd,cfd,within,True,4.9530229568481445,3.2018959522247314,4.044797420501709,180,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-lejepa-random-50ksteps,50000,backbone,g4,32768,lejepa,random,cfd,cfd,cfd,test,424,4.060436248779297,2.646048069000244,4.160947799682616,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-lejepa-random-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,random,10k,cfd,cfd,cfd,within,True,4.160947799682616,2.646048069000244,4.060436248779297,424,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-lejepa-random-50ksteps,50000,backbone,g4,32768,lejepa,random,cfd,cfd,cfd,test,450,3.948544025421143,2.571373701095581,4.047849655151366,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-lejepa-random-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,random,100k,cfd,cfd,cfd,within,True,4.047849655151366,2.571373701095581,3.948544025421143,450,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-lejepa-random-50ksteps,50000,backbone,g4,32768,lejepa,random,cfd,cfd,cfd,test,347,4.1169538497924805,2.667404890060425,4.199650287628174,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-lejepa-random-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,random,1m,cfd,cfd,cfd,within,True,4.199650287628174,2.667404890060425,4.1169538497924805,347,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-vicreg-random-50ksteps,50000,backbone,g4,32768,vicreg,random,cfd,cfd,cfd,test,263,4.070761203765868,3.168797016143799,4.9142680168151855,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-vicreg-random-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,random,10k,cfd,cfd,cfd,within,True,4.9142680168151855,3.168797016143799,4.070761203765868,263,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-vicreg-random-50ksteps,50000,backbone,g4,32768,vicreg,random,cfd,cfd,cfd,test,294,3.7638401985168457,2.508047103881836,3.937283754348755,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-vicreg-random-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,random,100k,cfd,cfd,cfd,within,True,3.937283754348755,2.508047103881836,3.7638401985168457,294,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-vicreg-random-50ksteps,50000,backbone,g4,32768,vicreg,random,cfd,cfd,cfd,test,318,3.687822580337525,2.5376884937286377,3.9886455535888667,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-vicreg-random-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,random,1m,cfd,cfd,cfd,within,True,3.9886455535888667,2.5376884937286377,3.687822580337525,318,,
followup_50k_landmark_probe,cfd_within,baseline-imagenet,0,backbone,g4,32768,baseline,imagenet,cfd,cfd,cfd,test,263,8.924335479736328,6.384853839874268,9.660913467407227,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/baseline-imagenet/backbone__g4/best_probe.pt,,,,,,baseline,imagenet,baseline,cfd,cfd,cfd,within,True,9.660913467407227,6.384853839874268,8.924335479736328,263,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,cfd,cfd,cfd,test,358,10.43490982055664,7.8008551597595215,11.729509353637695,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,10k,cfd,cfd,cfd,within,True,11.729509353637695,7.8008551597595215,10.43490982055664,358,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,cfd,cfd,cfd,test,424,4.279738426208496,2.979553699493408,4.666220664978027,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,100k,cfd,cfd,cfd,within,True,4.666220664978027,2.979553699493408,4.279738426208496,424,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,cfd,cfd,cfd,test,299,4.439042091369629,2.853899478912353,4.4774274826049805,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,imagenet,1m,cfd,cfd,cfd,within,True,4.4774274826049805,2.853899478912353,4.439042091369629,299,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,cfd,cfd,cfd,test,341,9.014130592346193,5.691030979156494,8.72878360748291,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,imagenet,10k,cfd,cfd,cfd,within,True,8.72878360748291,5.691030979156494,9.014130592346193,341,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,cfd,cfd,cfd,test,226,5.452151298522949,3.97573184967041,6.14628791809082,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,imagenet,100k,cfd,cfd,cfd,within,True,6.14628791809082,3.97573184967041,5.452151298522949,226,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,cfd,cfd,cfd,test,372,5.04587459564209,3.640031337738037,5.66350793838501,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,imagenet,1m,cfd,cfd,cfd,within,True,5.66350793838501,3.640031337738037,5.04587459564209,372,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,cfd,cfd,cfd,test,698,6.663674831390381,4.1783857345581055,6.474675178527832,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,imagenet,10k,cfd,cfd,cfd,within,True,6.474675178527832,4.1783857345581055,6.663674831390381,698,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,cfd,cfd,cfd,test,401,4.574835777282715,3.1047146320343018,4.797965049743652,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,imagenet,100k,cfd,cfd,cfd,within,True,4.797965049743652,3.1047146320343018,4.574835777282715,401,,
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,cfd,cfd,cfd,test,538,4.4683499336242685,2.9312260150909424,4.632867336273193,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,imagenet,1m,cfd,cfd,cfd,within,True,4.632867336273193,2.9312260150909424,4.4683499336242685,538,,
external_vit_landmark_probe,cfd_within,baseline-dinov2-vitb14,0,patch_tokens,g4,12288,external_baseline,dinov2,cfd,cfd,cfd,test,147,3.614746809005737,2.4477572441101074,3.857002973556519,/workspace/landmark_probe/outputs/probe_runs/external_vit_landmark_probe/cfd_within/baseline-dinov2-vitb14/patch_tokens__g4/best_probe.pt,dinov2,vitb14,14.0,LVD-142M,patch_tokens_g4,external_baseline,dinov2,baseline,cfd,cfd,cfd,within,True,3.857002973556519,2.4477572441101074,3.614746809005737,147,,
external_vit_landmark_probe,cfd_within,baseline-mae-vitb16-in1k-pretrain,0,patch_tokens,g4,12288,external_baseline,mae,cfd,cfd,cfd,test,630,3.638625144958496,2.382324457168579,3.7807004451751713,/workspace/landmark_probe/outputs/probe_runs/external_vit_landmark_probe/cfd_within/baseline-mae-vitb16-in1k-pretrain/patch_tokens__g4/best_probe.pt,mae,vitb16,16.0,ImageNet-1K,patch_tokens_g4,external_baseline,mae,baseline,cfd,cfd,cfd,within,True,3.7807004451751713,2.382324457168579,3.638625144958496,630,,
